Product Code,Description,Width,Length,Height,Quantity,Final Selling Price
LG1-N-0,"Supply Linear Bar Grille, 0° Deflection Front Horizontal Fixed Bars without OBD",300.0,200.0,,1,39.68,
LG1-N-0,"Supply Linear Bar Grille, 0° Deflection Front Horizontal Fixed Bars without OBD",300.0,200.0,,3,119.03,

,,,,,Total Selling Price,158.71
,,,,,VAT (15%),23.81
,,,,,Final Price (With VAT),182.52
